"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000174992",6066.76158523875,-8.49507781955323,0.437204774136652,-19.4304324245508,4.26751818924547e-84,8.04725904946019e-80
"ENSG00000182271",1010.54700599807,-9.57686194042259,0.544987391076543,-17.572630297932,3.99225851009259e-69,3.7641009362408e-65
"ENSG00000016602",5412.61399204283,-9.98493157946659,0.601628584900548,-16.5965046044432,7.38692567342129e-62,4.64317524745684e-58
"ENSG00000071203",2930.77430698927,-8.34964358524169,0.52680688617637,-15.8495338696964,1.41627461133002e-56,6.67667258646254e-53
"ENSG00000133742",5548.91750613586,-9.28869086809109,0.649849096878007,-14.2936120288782,2.39839962239618e-46,9.04532433590496e-43
"ENSG00000015413",3677.03955924501,8.38004532359228,0.602957132629275,13.8982439548397,6.49145084544184e-44,2.04015480987495e-40
"ENSG00000168079",601.596550463554,-8.74588318369333,0.638047984603865,-13.7072499165141,9.18745853018122e-43,2.47497007862325e-39
"ENSG00000167434",1315.33650051551,-7.0848915308661,0.519899957076531,-13.6274131867704,2.75161998625915e-42,6.4859122601111e-39
"ENSG00000101187",610.778182771312,4.01843450678013,0.303325485474232,13.2479290373427,4.63826533776763e-40,9.7181966082538e-37
"ENSG00000172159",229.494314800091,-5.08222709723129,0.404944269958307,-12.5504358852999,3.95327844849369e-36,7.45469717032455e-33
"ENSG00000148180",5093.63499958088,-2.65054810280118,0.214197758905538,-12.3743036171077,3.60003124391245e-35,6.17143537876883e-32
"ENSG00000165816",323.837934567542,4.58750042999205,0.375404992089233,12.2201369898182,2.42675431561024e-34,3.81344217745519e-31
"ENSG00000161944",197.805519293571,5.97098578658659,0.489415528172214,12.2002377180103,3.09917855064502e-34,4.49547768688563e-31
"ENSG00000130649",1637.34119214836,6.87942750768114,0.578653864554494,11.8886746103003,1.35540359864081e-32,1.82563183282642e-29
"ENSG00000215030",130.35554129483,6.37250691686241,0.549831772740339,11.589921195536,4.63558855599327e-31,5.82755289335767e-28
"ENSG00000204936",3970.25694111034,-7.53072409345254,0.655905706196814,-11.4814126821956,1.63585601670696e-30,1.9279585566902e-27
"ENSG00000240498",373.542319258922,-8.31027633983329,0.725143823928298,-11.4601766789025,2.09087835432799e-30,2.31927606632723e-27
"ENSG00000134028",2651.45598179513,-6.49197074258786,0.582518887531298,-11.1446527855958,7.60402967635174e-29,7.63445456823597e-26
"ENSG00000257017",7495.91599323051,7.86346112988772,0.705646622308217,11.1436247000883,7.69234962064398e-29,7.63445456823597e-26
"ENSG00000101412",425.319007386289,2.63689822205686,0.237376749564941,11.1084941001582,1.14066881253086e-28,1.07547958989472e-25
"ENSG00000187758",194.175704397081,4.97488936691538,0.451648204083481,11.0149654574866,3.23660736552002e-28,2.90631929007671e-25
"ENSG00000104267",4989.92768318439,-6.31414419466888,0.575147062011684,-10.9783125251201,4.85915651664442e-28,4.16495974701654e-25
"ENSG00000168748",640.244734099826,-7.61951680459647,0.698833907569747,-10.9031870406718,1.11289562435967e-27,9.124292516761e-25
"ENSG00000162267",804.41939514701,6.11381622617947,0.562791419120966,10.8633785421405,1.72255886810954e-27,1.3534288573309e-24
"ENSG00000138600",1267.65658058615,-2.15282902398493,0.198349414498425,-10.8537200849767,1.91470339822582e-27,1.44422247921377e-24
"ENSG00000181577",644.480952766201,7.15105831779744,0.66017412667591,10.8320790361844,2.42583968511692e-27,1.75938688239422e-24
"ENSG00000106927",1309.32769843236,7.07227186013735,0.656263799877543,10.7765686016157,4.44146273999428e-27,3.10195047733601e-24
"ENSG00000142959",621.119816870875,-8.61600175040166,0.801038920451315,-10.7560338585637,5.55080377062049e-27,3.73826809652109e-24
"ENSG00000100604",1158.44443915547,-7.9492861229617,0.745621329730683,-10.6612912023761,1.54438249173192e-26,1.00422140160651e-23
"ENSG00000089327",895.607587729392,2.89592278415869,0.273473229961287,10.5894196099876,3.33654120093674e-26,2.0972385808688e-23
"ENSG00000132465",27125.0868273197,-6.70476332412765,0.633806514902805,-10.5785648561152,3.74652735281522e-26,2.27897633200118e-23
"ENSG00000141505",244.38553729993,6.33386352935191,0.605447422554303,10.4614592339499,1.29840423493716e-25,7.65125270569061e-23
