"","SRR975564","SRR975565","SRR975566","SRR975569","SRR975570","SRR975571","SRR975597","SRR975598","SRR975599"
"ENSG00000000003",8.88000988652856,11.7803574481034,12.0214873053214,10.9833408409251,10.2949823277957,10.5038815780087,10.7548612535708,12.342338022196,10.3563995301864
"ENSG00000000005",4.80409558087004,5.57523215040651,5.17827285983236,5.39621321734768,5.12982872319989,5.4002360323022,5.28744809293603,6.0504787844579,5.82554219611771
"ENSG00000000419",9.32685536984605,10.1312854242357,9.95968677078922,9.12136223191642,9.04417717255638,8.96687919502471,10.1077018783156,10.1005949158456,9.55455184522492
"ENSG00000000457",7.92780009580898,8.65389749882641,7.85163474558242,8.83247499451659,8.76270348782106,8.54355221046582,8.19533163854127,8.60336950286121,7.67405220439115
"ENSG00000000460",7.71041333643903,7.85053407610442,7.74867817265482,6.85429702835105,6.6714241671686,6.34575877284924,7.70509939261884,8.13535019845471,7.36648311178505
"ENSG00000000938",8.48335543647688,6.6798077511299,8.19651359048052,6.80041583253286,6.59145351628098,7.3954132284298,7.52715376566771,6.56376002734528,7.86205119476052
"ENSG00000000971",8.93358421934399,8.46600562984906,9.85283913044133,11.1767362727297,10.3050702337807,10.8882411335819,11.3511044759951,11.2102171451197,9.98187751679309
"ENSG00000001036",10.5320636433959,10.67414668561,10.2396154610943,10.4844613949498,10.5554529533708,10.3886699684077,9.26564409916359,10.8531320783067,9.81115225184583
"ENSG00000001084",9.46050945700409,10.1343864957322,9.67307988440868,9.7934302046031,9.7709682957114,9.53920365087639,9.95626812244913,9.79592364376598,10.0434362315918
"ENSG00000001167",9.412302356732,9.0718255296633,9.37259414339503,9.23761206814299,9.15551963985641,9.0808749359375,9.24914024936067,9.81071552442318,8.46377695297118
"ENSG00000001460",7.2025840571558,6.87604250993613,7.94764039441425,8.11295143484918,8.47817115947498,8.02598500753702,7.67695193468705,7.81963885476442,7.26945819082072
"ENSG00000001461",9.83424606499288,8.73800018938247,9.06113871309043,10.0307231770188,10.0838629545594,9.5160691820786,9.76400263934354,9.09197240378282,9.4745404529633
"ENSG00000001497",9.71858454977927,10.0183189360474,10.4485381547219,8.90256315327426,9.10555442626499,9.23206239186405,9.65194153819879,10.1616500948127,9.20810018364168
"ENSG00000001561",8.64961110045152,9.20965150614543,8.51041036787412,9.67478136505248,9.33572307694227,9.42617418383153,8.51296768395228,9.01967465550161,8.45653449091332
