"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000174992",6066.76158523875,-8.35635249070594,0.436245497271608,4.26751818924547e-84,8.04725904946019e-80
"ENSG00000182271",1010.54700599807,-9.35664485208163,0.544061214235658,3.99225851009259e-69,3.7641009362408e-65
"ENSG00000016602",5412.61399204283,-9.71521803099186,0.600515478679085,7.38692567342129e-62,4.64317524745684e-58
"ENSG00000071203",2930.77430698927,-8.14987647214916,0.524840293102457,1.41627461133002e-56,6.67667258646254e-53
"ENSG00000133742",5548.91750613586,-8.97793156174409,0.647743709425659,2.39839962239618e-46,9.04532433590496e-43
"ENSG00000015413",3677.03955924501,8.11894441956489,0.599922199731435,6.49145084544184e-44,2.04015480987495e-40
"ENSG00000168079",601.596550463554,-8.45027646800036,0.635162826654915,9.18745853018122e-43,2.47497007862325e-39
"ENSG00000167434",1315.33650051551,-6.90371627166249,0.516201265983636,2.75161998625915e-42,6.4859122601111e-39
"ENSG00000101187",610.778182771312,3.97749829534791,0.302241727589621,4.63826533776763e-40,9.7181966082538e-37
"ENSG00000172159",229.494314800091,-4.99467165446488,0.402082810639848,3.95327844849369e-36,7.45469717032455e-33
"ENSG00000148180",5093.63499958088,-2.62433060695506,0.217239666997358,3.60003124391245e-35,6.17143537876883e-32
"ENSG00000165816",323.837934567542,4.51819904714304,0.373070567779222,2.42675431561024e-34,3.81344217745519e-31
"ENSG00000161944",197.805519293571,5.82697074085399,0.485085893302911,3.09917855064502e-34,4.49547768688563e-31
"ENSG00000130649",1637.34119214836,6.65977027363602,0.573082222882782,1.35540359864081e-32,1.82563183282642e-29
"ENSG00000215030",130.35554129483,6.18320793041663,0.544258924665985,4.63558855599327e-31,5.82755289335767e-28
"ENSG00000204936",3970.25694111034,-7.23599154107186,0.649513938422086,1.63585601670696e-30,1.9279585566902e-27
"ENSG00000240498",373.542319258922,-7.93627561070544,0.71916234470926,2.09087835432799e-30,2.31927606632723e-27
"ENSG00000134028",2651.45598179513,-6.27746609295305,0.576088252289535,7.60402967635174e-29,7.63445456823597e-26
"ENSG00000257017",7495.91599323051,7.51666190092902,0.698706894111915,7.69234962064398e-29,7.63445456823597e-26
"ENSG00000101412",425.319007386289,2.60345397260106,0.241858452418129,1.14066881253086e-28,1.07547958989472e-25
"ENSG00000187758",194.175704397081,4.86825757576422,0.447664905139411,3.23660736552002e-28,2.90631929007671e-25
"ENSG00000104267",4989.92768318439,-6.10879190895017,0.568652666353117,4.85915651664442e-28,4.16495974701654e-25
"ENSG00000168748",640.244734099826,-7.28416231698801,0.691285503783839,1.11289562435967e-27,9.124292516761e-25
